!
!Columns:
!
!SUPLAY LAY WIRE Xa Ya Za Xb Yb Zb
!
!These are the wire endpoints for sector 1. We will simply
!duplicate for the other sectors. Note the layers (column 2)
!go from 1 to 8. Layers 1 and 8 are guard layers. Layer 2
!is the first sense layer. Likewise the wires (column 3) go from 
!1 to 114. Wires 1 and 114 are guard wires. Wire 2 is the first
!sense wire. The units are cm.
!
!
1 2 21   45.8384   23.7733  231.5620   41.5635  -21.1047  233.5555
1 2 22   47.1346   24.5825  230.9576   42.7142  -21.8230  233.0189
1 2 23   48.4309   25.3917  230.3531   43.8649  -22.5414  232.4823
1 2 24   49.7271   26.2009  229.7487   45.0157  -23.2597  231.9457
1 2 25   51.0234   27.0101  229.1442   46.1664  -23.9781  231.4091
1 2 26   52.3196   27.8193  228.5398   47.3172  -24.6965  230.8725
1 2 27   53.6159   28.6285  227.9353   48.4679  -25.4148  230.3359
1 2 28   54.9121   29.4377  227.3309   49.6186  -26.1332  229.7993
1 2 29   56.2084   30.2469  226.7264   50.7694  -26.8516  229.2627
1 2 30   57.5047   31.0561  226.1220   51.9201  -27.5699  228.7261
1 2 31   58.8009   31.8653  225.5175   53.0709  -28.2883  228.1895
1 2 32   60.0972   32.6745  224.9130   54.2216  -29.0066  227.6529
1 2 33   61.3934   33.4837  224.3086   55.3723  -29.7250  227.1163
1 2 34   62.6897   34.2929  223.7041   56.5231  -30.4434  226.5797
1 2 35   63.9859   35.1021  223.0997   57.6738  -31.1617  226.0431
1 2 36   65.2822   35.9113  222.4952   58.8246  -31.8801  225.5065
1 2 37   66.5784   36.7205  221.8908   59.9753  -32.5985  224.9699
1 2 38   67.8747   37.5297  221.2863   61.1261  -33.3168  224.4333
1 2 39   69.1709   38.3389  220.6819   62.2768  -34.0352  223.8967
1 2 40   70.4672   39.1481  220.0774   63.4275  -34.7535  223.3601
1 2 41   71.7634   39.9573  219.4730   64.5783  -35.4719  222.8235
1 2 42   73.0597   40.7665  218.8685   65.7290  -36.1903  222.2869
1 2 43   74.3559   41.5757  218.2641   66.8798  -36.9086  221.7503
1 2 44   75.6522   42.3849  217.6596   68.0305  -37.6270  221.2137
1 2 45   76.9484   43.1941  217.0552   69.1812  -38.3454  220.6771
1 2 46   78.2447   44.0033  216.4507   70.3320  -39.0637  220.1405
1 2 47   79.5409   44.8125  215.8463   71.4827  -39.7821  219.6039
1 2 48   80.8372   45.6217  215.2418   72.6335  -40.5005  219.0673
1 2 49   82.1334   46.4309  214.6374   73.7842  -41.2188  218.5307
1 2 50   83.4297   47.2401  214.0329   74.9349  -41.9372  217.9941
1 2 51   84.7259   48.0493  213.4285   76.0857  -42.6555  217.4575
